HomeTeam,AwayTeam,FTHG,FTAG
Duke,Miami,7,52
Duke,UNC,21,24
Duke,UVA,7,38
Duke,VT,0,45
Miami,Duke,52,7
Miami,UNC,34,16
Miami,UVA,25,17
Miami,VT,27,7
UNC,Duke,24,21
UNC,Miami,16,34
UNC,UVA,7,5
UNC,VT,3,30
UVA,Duke,38,7
UVA,Miami,17,25
UVA,UNC,5,7
UVA,VT,14,52
VT,Duke,45,0
VT,Miami,7,27
VT,UNC,30,3
VT,UVA,52,14
